prefill_qo_len,prefill_kv_len,decode_qo_len,decode_kv_len,count,mean,std,variance,min,max,cv
2048,2048,23,23552,2,0.192672,0.011449473000972576,0.00013109043199999997,0.184576,0.200768,5.942468545004
114688,15764,18,18432,2,0.148304,0.011155316579998952,0.00012444108799999952,0.140416,0.156192,7.521925620669048
6144,1329,54,13824,2,0.10836799999999999,0.010974297244015217,0.00012043519999999998,0.100608,0.116128,10.126879922014192
131072,17920,25,12800,2,0.13872,0.010227592483082217,0.00010460364799999986,0.131488,0.145952,7.372831946157284
131072,30016,8,16384,2,0.21116799999999997,0.01018233764908637,0.00010368000000000174,0.2039679999999999,0.218368,4.821913189623644
6144,6144,4,65536,2,0.7041599999999999,0.010046573147098585,0.00010093363200000234,0.6970559999999999,0.711264,1.4267457886945922
122880,16800,28,14336,2,0.11086399999999999,0.009661907058132987,9.335244800000004e-05,0.104032,0.117696,8.715098724038361
2048,6488,13,13312,2,0.41408,0.009413005471155313,8.860467199999987e-05,0.407424,0.420736,2.273233546387674
122880,16890,17,17408,2,0.12812800000000002,0.009322495803163433,8.690892799999983e-05,0.121536,0.13472,7.275923916620494
512,512,3,24576,3,0.49011199999999994,0.00930198774456298,8.652697599999987e-05,0.483616,0.500768,1.897931032634388
8192,7088,1,8192,2,0.272256,0.009277240969167518,8.606720000000027e-05,0.265696,0.278816,3.4075432555242027
1024,1024,46,23552,2,0.139776,0.009096221633183767,8.274124800000036e-05,0.133344,0.146208,6.507713503517093
6144,6144,7,14336,2,0.26983999999999997,0.008756810378214228,7.668172800000042e-05,0.263648,0.276032,3.2451861751293514
2048,5034,3,12288,2,0.46176,0.008734182961216256,7.628595200000036e-05,0.455584,0.467936,1.8914983886271564
2048,7764,4,32768,2,0.7192160000000001,0.008711555544218303,7.589120000000066e-05,0.713056,0.725376,1.2112571943626178
8192,8192,1,16384,2,0.370608,0.008349516872250782,6.971443200000049e-05,0.364704,0.376512,2.2529240788104565
6144,6144,1,8192,3,0.34922666666666663,0.008146645280932095,6.636782933333316e-05,0.34416,0.358624,2.3327672415048473
2048,5456,34,17408,5,0.3723776,0.008135347859802954,6.61838848000005e-05,0.363008,0.381568,2.1847038752111434
0,0,14,7168,2,0.024656,0.00758018469431979,5.745920000000001e-05,0.019296,0.030016,30.743772970376448
8192,8192,10,20480,2,0.284416,0.007557557277321842,5.711667200000033e-05,0.279072,0.28976,2.6572194513194134
2048,1304,71,18176,2,0.140128,0.007467047609329951,5.5756800000000144e-05,0.134848,0.145408,5.328733446564011
0,0,24,24576,4,0.05596,0.00695632086666508,4.839040000000001e-05,0.049888,0.062592,12.430880725936738
512,512,11,22528,3,0.21640533333333334,0.006686570820183782,4.471022933333322e-05,0.211968,0.224096,3.0898364259786937
2048,1304,72,18432,2,0.14267200000000002,0.006494068678417261,4.217292800000011e-05,0.13808,0.147264,4.551747135994107
24576,5550,18,18432,2,0.14432,0.006471441261419278,4.187955199999994e-05,0.139744,0.148896,4.4840917800271525
512,512,48,24576,2,0.078704,0.006403559010425366,4.100556799999989e-05,0.074176,0.083232,8.136256101709076
2048,2048,5,5120,2,0.20052799999999998,0.006403559010425351,4.10055679999997e-05,0.196,0.205056,3.193349062092078
2048,2048,3,49152,2,0.744864,0.006380931593427388,4.0716287999999785e-05,0.740352,0.749376,0.8566572679805617
2048,1534,10,20480,5,0.3032384,0.005967909918891177,3.56159487999997e-05,0.296032,0.3112,1.9680587672679706
1024,2140,78,19968,3,0.19887999999999997,0.005940375745691504,3.528806399999989e-05,0.1936,0.205312,2.9869145930735064
24576,16506,70,17920,2,0.2719679999999999,0.005928383253468035,3.514572800000025e-05,0.2677759999999999,0.2761599999999999,2.179809114045854
6144,9003,2,32768,2,0.6315200000000001,0.005883128419472032,3.461119999999949e-05,0.62736,0.63568,0.9315822806150951
32768,29664,2,16384,2,0.577776,0.005815246168478173,3.3817088000000074e-05,0.573664,0.581888,1.0064880104870546
114688,34482,2,32768,2,0.672432,0.005679481666490378,3.2256512000000317e-05,0.668416,0.676448,0.8446179934395982
28672,8085,5,20480,2,0.29532800000000003,0.005611599415496459,3.1490048000000206e-05,0.29136,0.299296,1.9001244086562514
