decode_kv_len,decode_qo_len,prefill_kv_len,prefill_qo_len,decode_time_ms,prefill_time_ms,sm_time
32768,4,6144,6144,0.459264,0.144832,0.604096
16384,2,8192,8192,0.49168,0.221472,0.713152
24576,3,8192,8192,0.291872,0.21936,0.511232
32768,4,8192,8192,0.410912,0.166304,0.577216
24576,3,6144,6144,0.319808,0.234784,0.554592
32768,4,6144,6144,0.457792,0.144032,0.6018239999999999
16384,2,8192,8192,0.501056,0.218272,0.719328
24576,3,8192,8192,0.312512,0.22496,0.537472
16384,2,4096,4096,0.461376,0.20432,0.6656960000000001
8192,1,6144,6144,0.225536,0.11936,0.344896
16384,2,6144,6144,0.481184,0.178624,0.659808
8192,1,8192,8192,0.130688,0.32848,0.459168
16384,2,8192,8192,0.40928,0.204256,0.613536
8192,1,6144,6144,0.224448,0.119712,0.34416
16384,2,6144,6144,0.479552,0.12016,0.599712
8192,1,8192,8192,0.237824,0.129472,0.367296
